Date,Equity
2024-08-17T14:56:00Z,4321.28
2024-08-17T21:21:00Z,4314.04
2024-08-17T23:58:00Z,4306.42
2024-08-18T00:39:00Z,4318.14
2024-08-18T00:41:00Z,4329.89
2024-08-18T00:43:00Z,4341.67
2024-08-18T02:51:00Z,4353.82
2024-08-18T03:58:00Z,4347.03
2024-08-18T08:53:00Z,4339.89
2024-08-18T09:50:00Z,4351.73
2024-08-18T17:24:00Z,4344.72
2024-08-18T23:12:00Z,4356.99
2024-08-18T23:44:00Z,4369.24
2024-08-19T00:14:00Z,4361.85
2024-08-19T00:16:00Z,4332.36
2024-08-19T00:18:00Z,4325.01
2024-08-19T00:20:00Z,4317.68
2024-08-19T09:49:00Z,4310.76
2024-08-19T11:49:00Z,4303.67
2024-08-19T11:58:00Z,4315.58
2024-08-19T12:00:00Z,4327.51
2024-08-19T12:02:00Z,4339.48
2024-08-19T13:18:00Z,4351.78
2024-08-19T13:20:00Z,4363.78
2024-08-19T13:22:00Z,4375.80
2024-08-19T13:24:00Z,4387.85
2024-08-19T13:51:00Z,4380.91
2024-08-19T13:53:00Z,4374.02
2024-08-19T13:55:00Z,4367.14
2024-08-19T13:57:00Z,4360.27
2024-08-19T23:27:00Z,4372.73
2024-08-19T23:29:00Z,4384.62
2024-08-19T23:31:00Z,4396.54
2024-08-20T00:25:00Z,4408.96
2025-04-03T10:03:00Z,4421.57
2025-04-03T10:05:00Z,4434.03
2025-04-03T10:07:00Z,4446.52
2025-04-03T10:09:00Z,4459.04
2025-04-03T10:11:00Z,4471.59
2025-04-03T10:13:00Z,4484.17
2025-04-03T10:15:00Z,4496.77
2025-04-03T10:17:00Z,4509.40
